conv_id,chain_id,turn_id,speaker,text,reference_type
0,0,1,B,a poodle,N
0,0,3,B,it,P
0,1,0,A,you,P
0,1,5,B,I,P
0,1,5,B,I,P
0,1,5,B,my,P
0,1,5,B,I,P
0,1,5,B,I,P
0,1,5,B,I,P
0,1,6,A,you,P
0,1,6,A,you,P
0,1,6,A,you,P
0,1,7,B,I,P
0,1,9,B,I,P
0,1,21,A,me,P
0,1,22,B,I,P
0,1,23,A,I,P
0,1,29,A,I,P
0,1,29,A,I,P
0,1,30,A,I,P
0,1,30,A,I,P
0,1,30,A,me,P
0,1,31,A,you,P
0,1,32,B,I,P
0,1,33,B,B,N
0,1,47,A,I,P
0,1,49,A,me,P
0,1,50,B,I,P
0,1,51,B,my,P
0,1,62,B,I,P
0,1,62,B,I,P
0,1,63,A,I,P
0,1,63,A,I,P
0,1,63,A,I,P
0,1,63,A,I,P
0,1,63,A,me,P
0,1,64,B,I,P
0,1,64,B,I,P
0,1,64,B,I,P
0,1,64,B,I,P
0,1,65,B,I,P
0,1,65,B,I,P
0,1,72,A,you,P
0,2,4,A,the poodles,N
0,2,5,B,it,P
0,2,5,B,it,P
0,2,5,B,it,P
0,2,5,B,she,P
0,2,6,A,the dog,N
0,2,8,A,the dog,N
0,2,9,B,It,P
0,2,10,A,it,P
0,3,4,A,I,P
0,3,5,B,I,P
0,3,5,B,I,P
0,3,12,A,I,P
0,3,12,A,myself,N
0,3,12,A,I,P
0,3,13,A,I,P
0,3,23,A,I,P
0,3,25,A,I,P
0,3,25,A,I,P
0,3,26,A,me,P
0,3,27,A,I,P
0,3,28,A,I,P
0,3,31,A,I,P
0,3,35,A,my,P
0,3,37,A,I,P
0,3,38,A,I,P
0,3,38,A,I,P
0,3,39,A,I,P
0,3,56,A,you,P
0,3,70,A,I,P
0,3,72,A,I,P
0,4,12,A,a a mutt,N
0,4,12,A,it,P
0,4,13,A,she,P
0,4,15,A,She,P
0,4,15,A,she,P
0,4,17,A,she,P
0,4,17,A,she,P
0,4,18,A,she,P
0,4,20,A,it,P
0,4,21,A,she,P
0,4,23,A,She,P
0,4,25,A,her,P
0,4,25,A,she,P
0,4,26,A,she,P
0,4,26,A,she,P
0,4,27,A,she,P
0,4,28,A,she,P
0,4,28,A,she,P
0,4,28,A,her,P
0,4,30,A,her,P
0,4,30,A,she,P
0,4,32,B,her,P
0,4,32,B,she,P
0,4,34,B,She,P
0,4,35,A,my dog,N
0,4,35,A,she,P
0,4,36,A,she,P
0,4,37,A,her,P
0,4,38,A,her,P
0,4,38,A,her,P
0,4,38,A,her,P
0,4,41,A,she,P
0,4,43,A,she,P
0,4,44,B,that,P
0,4,45,A,her,P
0,4,46,A,her,P
0,4,46,A,she,P
0,4,46,A,she,P
0,4,49,A,she,P
0,4,50,B,our dog,N
0,4,50,B,she,P
0,4,50,B,she,P
0,4,50,B,she,P
0,4,51,B,her,P
0,4,51,B,she,P
0,4,52,B,the dog,N
0,4,52,B,she,P
0,4,52,B,she,P
0,4,52,B,She,P
0,4,52,B,herself,N
0,4,53,A,she,P
0,4,54,B,She,P
0,4,54,B,she,P
0,4,54,B,she,P
0,4,54,B,she,P
0,4,54,B,she,P
0,4,54,B,she,P
0,4,54,B,she,P
0,4,54,B,her,P
0,4,54,B,She,P
0,4,55,A,her,P
0,4,56,A,the dog,N
0,4,57,B,it,P
0,4,59,A,Mine,PN
0,4,61,A,it,P
0,5,13,A,'s,N
0,5,14,B,that,P
0,6,15,A,has,N
0,6,16,B,that,P
0,6,16,B,that,P
0,7,25,A,the newspapers,N
0,7,27,A,the newspaper,N
0,7,27,A,them,P
0,8,26,A,the bathroom,N
0,8,27,A,the bathroom,N
0,8,32,B,the bathroom,N
0,9,1,B,we,P
0,9,32,B,we,P
0,9,32,B,we,P
0,9,32,B,our,P
0,9,32,B,we,P
0,9,33,B,we,P
0,9,33,B,we,P
0,9,50,B,our,P
0,9,50,B,we,P
0,9,51,B,we,P
0,10,32,B,the the master bedroom,N
0,10,32,B,the bedroom,N
0,11,38,A,feed,N
0,11,38,A,that,P
0,12,39,A,a a thirty foot cable,N
0,12,40,A,that,P
0,13,45,A,children,N
0,13,45,A,they,P
0,13,45,A,they,P
0,14,46,A,they,P
0,14,46,A,they,P
0,14,46,A,their,P
0,15,50,B,a child,N
0,15,50,B,the child,N
0,15,50,B,she,P
0,15,50,B,she,P
0,16,32,B,our house,N
0,16,51,B,the house,N
0,17,5,B,my wife 's,N
0,17,52,B,Grandma,PN
0,18,63,A,Gin one,PN
0,18,63,A,her,P
0,19,65,B,the dog I had when I moved to Dallas about five years ago,N
0,19,65,B,he,P
0,19,66,B,he,P
0,19,66,B,he,P
0,19,68,B,He,P
0,19,68,B,he,P
0,19,68,B,he,P
0,19,68,B,he,P
0,19,68,B,his,P
0,20,52,B,Grandpa and Grandma,PN
0,20,68,B,Mom and Dad,PN
0,21,69,A,we,P
0,21,69,A,our,P
0,21,74,A,we,P
0,22,72,A,talking,N
0,22,73,B,that,P
0,23,74,A,get,N
0,23,75,B,That,P
1,0,0,A,you,P
1,0,1,B,I,P
1,0,1,B,I,P
1,0,1,B,I,P
1,0,1,B,I,P
1,0,1,B,I,P
1,0,1,B,I,P
1,0,1,B,I,P
1,0,1,B,your,P
1,0,2,A,I,P
1,0,2,A,I,P
1,0,2,A,my,P
1,0,2,A,I,P
1,0,2,A,I,P
1,0,2,A,I,P
1,0,2,A,I,P
1,0,2,A,I,P
1,0,2,A,I,P
1,0,4,A,I,P
1,0,4,A,I,P
1,0,4,A,I,P
1,0,4,A,I,P
1,0,4,A,I,P
1,0,4,A,I,P
1,0,5,B,Your,P
1,0,6,A,I,P
1,0,6,A,I,P
1,0,6,A,I,P
1,0,6,A,my,P
1,0,6,A,I,P
1,0,6,A,I,P
1,0,6,A,I,P
1,0,6,A,I,P
1,0,6,A,I,P
1,0,6,A,I,P
1,0,6,A,I,P
1,0,7,A,I,P
1,0,7,A,I,P
1,0,8,B,I,P
1,0,9,A,I,P
1,0,10,B,I,P
1,0,10,B,I,P
1,0,10,B,I,P
1,0,10,B,I,P
1,0,10,B,I,P
1,0,10,B,I,P
1,0,10,B,I,P
1,0,10,B,I,P
1,0,10,B,I,P
1,0,10,B,you,P
1,0,10,B,I,P
1,0,10,B,I,P
1,0,10,B,my,P
1,0,10,B,I,P
1,0,10,B,I,P
1,0,10,B,I,P
1,0,11,A,I,P
1,0,11,A,I,P
1,0,11,A,I,P
1,0,11,A,I,P
1,0,13,B,I,P
1,0,13,B,you,P
1,0,15,B,I,P
1,0,15,B,I,P
1,0,15,B,I,P
1,0,15,B,I,P
1,0,15,B,I,P
1,0,15,B,I,P
1,0,15,B,I,P
1,0,15,B,I,P
